Track,Instrument,Last edited,Last edited by,Property,Song,Track block
*TRACK TEMPLATE*,Vocals,"July 26, 2022 3:47 PM",Marwan Refaat,,Songs%20d5c3e8139e1f451c82a5f1a5db77846e/SONG%20TEMPLATE%2044f8f3cb719145e8836430bc05fc4332.md,https://www.notion.so/transcendproductions/TRACK-TEMPLATE-113c339d01d74c1386b799f4fb3d5ed1#85b780f870f94883a86334bc662b1f1e
*TRACK TEMPLATE*,,"July 26, 2022 12:28 PM",Marwan Refaat,,,
Instrumental,Instrumental,"July 26, 2022 3:29 PM",Marwan Refaat,,Songs%20d5c3e8139e1f451c82a5f1a5db77846e/SONG%20TEMPLATE%2044f8f3cb719145e8836430bc05fc4332.md,
Vocals,Vocals,"July 26, 2022 3:40 PM",Marwan Refaat,,Songs%20d5c3e8139e1f451c82a5f1a5db77846e/SONG%20TEMPLATE%2044f8f3cb719145e8836430bc05fc4332.md,https://www.notion.so/transcendproductions/Vocals-6fd83c5e0f8841e1bf56b945c2333fdc#044865e58a724f63962ec1165ec1f787
