Song,Artists,Artwork,BPM,Beat,Created,Key,Last edited,Last edited by,Lyrics,Master,Release date,Status,Tabs,Tags,Tracks
*SONG TEMPLATE*,Artists%20d8112c5f6eb24b769b8c25efdabac692/ARTIST%20TEMPLATE%207bb6b57e27e6430cb1ab5f3a617a4e0c.md,,,,"July 26, 2022 12:23 PM",,"July 26, 2022 4:05 PM",Marwan Refaat,,Songs%20d5c3e8139e1f451c82a5f1a5db77846e/nicotine.mp3,,In progress,,,"Tracks%204305175f6a904c77a7ea3b06969c468e/TRACK%20TEMPLATE%20113c339d01d74c1386b799f4fb3d5ed1.md, Tracks%204305175f6a904c77a7ea3b06969c468e/Instrumental%20eb3a50cafa504e8fac04c000a4952374.md, Tracks%204305175f6a904c77a7ea3b06969c468e/Vocals%206fd83c5e0f8841e1bf56b945c2333fdc.md"
,,,,,"July 26, 2022 12:33 PM",,"July 26, 2022 12:34 PM",Marwan Refaat,,,,Not started,,,
Song Name,Artists%20d8112c5f6eb24b769b8c25efdabac692/ARTIST%20TEMPLATE%207bb6b57e27e6430cb1ab5f3a617a4e0c.md,,,,"July 26, 2022 11:29 AM",,"July 26, 2022 12:18 PM",Marwan Refaat,,,,Not started,,,
Page 2,,,,,"July 26, 2022 11:29 AM",,"July 26, 2022 11:29 AM",Marwan Refaat,,,,Not started,,,
Page 3,,,,,"July 26, 2022 11:29 AM",,"July 26, 2022 11:29 AM",Marwan Refaat,,,,Not started,,,
