Song,Artists,Artwork,BPM,Beat,Created,Key,Last edited,Last edited by,Length (Seconds),Lyrics,Project Type,Release date,Tabs,Tags
Flying on a Saturday,Artists%20d8112c5f6eb24b769b8c25efdabac692/Emma%20Shen%2033778393ee024c34b2be7ecfa33d9448.md,,,,"July 27, 2022 4:09 AM",,"August 9, 2022 4:33 PM",Marwan Refaat,,,,,,
Guitar Idea,Artists%20d8112c5f6eb24b769b8c25efdabac692/Jonah%20Steuer%20afe428ebd4da4aa88c69e0288fea2193.md,,110,,"August 4, 2022 10:10 PM",B♭ Minor,"August 9, 2022 4:32 PM",Marwan Refaat,,,Song Starter,,,"guitar stem, song starter"
Memory Lane,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,135,,"August 9, 2022 5:37 PM",,"August 9, 2022 5:38 PM",Marwan Refaat,,,,,,
Rewire your Mind,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,66,,"August 9, 2022 5:09 PM",G Minor,"August 9, 2022 11:21 PM",Marwan Refaat,,,Song,,,
VTOL,Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md,,,,"July 27, 2022 4:26 AM",,"July 27, 2022 4:26 AM",Marwan Refaat,,,,,,
Tour My Room,"Artists%20d8112c5f6eb24b769b8c25efdabac692/Marwan%20Refaat%200a96478ae3dc487395d3265e1cd7361a.md, Artists%20d8112c5f6eb24b769b8c25efdabac692/Nicholas%20Chen%200677f829eaa04243822a8227dc6790c1.md",,,,"August 9, 2022 12:36 PM",,"August 9, 2022 5:05 PM",Marwan Refaat,,,,,,
,,,,,"August 9, 2022 11:20 PM",,"August 9, 2022 11:20 PM",Marwan Refaat,,,,,,
,,,,,"August 9, 2022 11:04 PM",,"August 9, 2022 11:04 PM",Marwan Refaat,,,,,,
